credit_id,movie_id,person_id,role_type_id,character_name,billing_order
1,97,259,1,Alex,1
2,97,2672,1,Mr Alexander,2
3,97,1221,1,Chief Guard,3
4,97,1531,1,Dim,4
5,97,1538,1,Stage Actor,5
6,97,1588,1,Mrs. Alexander,6
7,97,1754,1,Dr. Brodsky,7
8,97,1833,1,Tramp,8
9,97,1903,1,Lodger,9
10,97,2044,1,Prison Governor,10
11,97,6,2,,11
12,97,6,4,,12
13,97,1400,4,,13
14,97,6,3,,14
15,97,1457,4,,15
16,97,960,4,,16
17,97,1415,4,,17
18,9,1,1,Don Vito Corleone,1
19,9,89,1,Michael,2
20,9,409,1,Sonny,3
21,9,237,1,Kay Adams,4
22,9,1475,1,Clemenza,5
23,9,182,1,Tom Hagen,6
24,9,513,1,Capt. McCluskey,7
25,9,2704,1,Jack Woltz,8
26,9,713,1,Barzini,9
27,9,2574,1,Sollozzo,10
28,9,163,2,,11
29,9,3147,4,,12
30,9,163,4,,13
31,9,3291,3,,14
32,9,8,4,,15
33,9,3858,4,,16
34,9,3214,4,,17
35,9,3937,4,,18
36,335,408,1,Chris MacNeil,1
37,335,697,1,Father Merrin,2
38,335,148,1,Regan,3
39,335,712,1,Lt. Kinderman,4
40,335,3868,1,Sharon,5
41,335,2664,1,Burke Dennings,6
42,335,2845,1,Father Karras,7
43,335,2998,1,Father Dyer,8
44,335,2203,1,Dr. Klein,9
45,335,2727,1,Dr. Barringer - Clinic Director,10
46,335,484,2,,11
47,335,1295,4,,12
48,335,1295,3,,13
49,335,985,4,,14
50,335,1957,4,,15
51,335,2633,4,,16
52,497,87,1,J.J. Gittes,1
53,497,458,1,Evelyn Mulwray,2
54,497,527,1,Noah Cross,3
55,497,2630,1,Escobar,4
56,497,2218,1,Yelburton,5
57,497,3943,1,Hollis Mulwray,6
58,497,750,1,Ida Sessions,7
59,497,2335,1,Mulvihill,8
60,497,281,1,Man with Knife,9
61,497,1181,1,Loach,10
62,497,281,2,,11
63,497,668,4,,12
64,497,1816,3,,13
65,497,3,4,,14
66,497,730,4,,15
67,497,3002,4,,16
68,31,89,1,Michael,1
69,31,43,1,Vito Corleone,2
70,31,182,1,Tom Hagen,3
71,31,237,1,Kay,4
72,31,418,1,Fredo Corleone,5
73,31,645,1,Connie Corleone,6
74,31,3565,1,Hyman Roth,7
75,31,1958,1,Frankie Pentangeli,8
76,31,3523,1,Senator Pat Geary,9
77,31,1357,1,Al Neri,10
78,31,163,2,,11
79,31,163,4,,12
80,31,3147,4,,13
81,31,163,3,,14
82,31,8,4,,15
83,31,3858,4,,16
84,31,2680,4,,17
