movie_id,tag_id,relevance_score
1,76,0.333
1,161,0.333
2,7,0.333
2,15,0.333
2,29,0.333
2,57,0.333
3,2,0.333
3,3,1.0
3,4,0.333
3,5,0.667
3,10,0.333
3,11,0.667
3,12,0.333
3,13,0.333
3,15,0.333
3,16,0.333
3,21,0.333
3,37,0.333
3,41,0.333
3,42,0.667
3,43,0.333
3,75,0.333
3,82,0.333
3,133,0.333
3,149,0.333
3,185,0.333
4,1,0.333
4,3,0.667
4,6,0.667
4,10,0.333
4,12,0.333
4,13,0.333
4,14,0.333
4,15,0.667
4,16,0.333
4,18,1.0
4,22,0.333
4,25,0.333
4,28,0.333
4,29,0.333
4,30,0.333
4,37,0.333
4,38,0.667
4,40,0.333
4,42,0.333
4,55,0.333
4,66,0.333
4,69,0.333
4,91,0.333
4,100,0.333
4,105,0.333
4,121,0.333
4,133,0.333
4,141,0.333
5,2,0.667
5,3,0.333
5,5,0.333
5,139,0.333
6,17,0.333
6,46,0.333
6,51,0.333
6,58,0.333
6,120,0.333
7,1,0.333
7,3,0.333
7,4,0.333
7,6,0.333
7,8,0.333
7,10,0.333
7,14,0.333
7,16,0.333
7,18,0.333
7,20,0.333
7,22,0.333
7,25,0.333
7,27,0.667
7,28,0.333
7,29,0.333
7,30,0.333
7,32,0.333
7,38,0.333
7,40,0.333
7,41,0.667
7,44,0.333
7,47,0.667
7,50,0.333
7,52,0.667
7,57,0.333
7,59,0.333
7,61,0.667
7,65,0.333
7,66,0.333
7,70,0.333
7,73,0.333
7,83,0.333
7,85,0.667
7,89,0.333
7,103,0.333
7,104,0.333
7,105,0.333
7,106,0.333
7,110,0.333
7,111,0.667
7,117,0.333
7,119,0.333
7,121,0.333
7,122,0.333
7,127,0.333
7,128,0.333
7,130,0.333
7,138,0.333
7,168,0.333
7,170,0.333
7,171,0.333
7,184,0.333
7,185,0.333
7,189,0.333
7,191,0.333
7,199,0.667
7,200,0.333
8,2,0.333
8,42,0.333
8,174,0.333
9,32,0.333
10,34,0.333
10,71,0.333
10,84,0.333
11,30,0.333
11,41,0.333
11,71,0.333
11,84,0.333
11,124,0.333
11,127,0.333
11,156,0.333
12,6,0.333
12,54,0.333
13,7,0.333
13,31,0.333
13,113,0.333
13,139,0.333
13,161,0.333
13,192,0.333
14,84,0.333
14,159,0.333
15,8,0.333
15,10,0.333
15,21,0.333
15,27,0.333
15,73,0.333
15,158,0.333
15,164,0.667
15,187,0.333
16,40,0.333
16,48,0.333
17,21,0.333
17,52,0.333
17,116,0.333
18,27,0.333
18,93,0.333
18,100,0.333
18,158,0.333
19,4,0.333
19,15,0.333
19,28,0.333
19,89,0.333
21,3,0.333
21,16,0.333
21,21,0.333
21,116,0.333
23,1,0.333
23,198,0.333
24,3,0.333
24,28,0.333
24,115,0.333
24,147,0.333
24,173,0.333
24,194,0.333
25,2,1.0
25,10,0.333
25,22,0.667
25,23,0.333
25,41,0.333
25,60,0.333
25,92,1.0
25,132,0.333
25,140,0.667
25,165,0.667
25,181,0.333
26,76,0.333
27,5,0.333
27,7,0.333
27,50,0.333
28,1,0.333
28,4,0.667
28,6,0.333
28,21,0.667
28,116,0.333
29,2,0.333
29,22,0.333
29,23,0.333
29,39,0.333
29,60,0.333
29,109,0.333
30,2,0.333
30,3,0.333
30,36,0.333
30,62,0.333
30,109,0.333
30,148,0.333
30,186,0.667
31,32,0.667
31,101,0.333
32,9,0.333
33,6,1.0
33,11,0.333
33,15,0.333
33,16,0.333
33,29,0.333
33,54,0.667
33,75,0.333
33,122,0.333
34,36,0.333
35,32,0.333
37,17,0.333
37,31,0.333
37,157,0.667
38,8,0.333
38,45,0.333
39,14,0.333
39,25,0.333
39,28,0.333
39,40,0.333
39,45,0.333
39,49,0.333
39,58,0.333
39,61,0.667
39,65,0.333
39,70,0.667
39,72,0.333
39,88,0.333
39,89,0.333
39,104,0.333
39,107,0.333
39,119,0.333
39,121,0.333
39,123,0.333
39,134,0.667
39,150,0.333
39,179,0.333
41,69,0.333
41,107,0.333
41,114,0.333
41,178,0.333
42,48,0.333
42,174,0.333
43,2,0.333
43,9,0.333
43,35,0.333
43,143,0.333
43,152,0.333
45,3,0.333
45,17,0.333
45,62,0.333
46,26,0.667
46,106,0.333
49,4,0.333
49,6,0.333
49,13,0.333
49,43,0.333
49,59,0.333
50,21,0.333
50,25,0.333
50,44,0.333
50,96,0.333
50,102,0.333
51,17,0.333
51,46,0.333
51,53,0.333
51,58,0.333
51,86,0.333
51,190,0.333
52,1,0.333
52,4,0.333
52,16,0.333
52,28,0.333
52,76,0.333
52,177,0.333
54,24,0.667
54,120,0.333
55,60,0.333
55,132,0.333
55,181,0.333
56,26,0.333
56,120,0.333
57,5,0.333
57,33,0.333
57,74,0.333
59,1,0.333
59,3,0.667
59,11,0.333
59,12,0.667
59,14,0.333
59,17,0.333
59,20,0.333
59,42,0.333
59,44,0.333
59,46,0.333
59,47,0.333
59,74,0.333
59,82,0.333
59,126,0.333
59,151,0.333
59,176,0.667
61,50,0.333
62,27,0.667
62,30,0.333
62,38,0.333
62,43,0.333
62,45,0.333
62,63,0.333
62,85,0.333
62,122,0.333
62,127,0.333
62,200,0.333
64,24,0.333
64,48,0.333
64,148,0.333
65,17,0.333
65,55,0.333
65,177,0.333
66,4,0.333
66,16,0.333
66,24,0.333
66,49,0.333
66,108,0.333
66,109,0.333
66,110,0.333
67,6,0.333
67,13,0.333
67,30,0.333
67,40,0.333
67,118,0.667
67,142,0.333
68,53,0.333
68,80,0.667
68,182,0.667
71,19,0.333
75,17,0.333
76,150,0.333
78,101,0.333
79,102,0.333
80,115,0.333
80,194,0.333
81,9,0.333
81,35,0.667
81,49,0.333
81,72,0.333
81,95,0.333
84,15,0.333
84,166,0.333
84,167,0.333
88,7,0.333
90,79,0.333
93,34,0.667
93,45,0.333
93,78,0.333
94,5,0.667
94,33,0.333
95,24,0.667
95,37,0.333
98,1,0.333
98,54,0.333
98,59,0.333
98,136,0.333
98,172,0.333
99,8,0.333
99,20,0.333
100,72,0.333
100,159,0.333
103,17,0.333
103,29,0.333
103,57,0.333
103,190,0.333
104,23,0.333
104,60,0.333
105,8,0.333
105,14,0.333
105,18,0.333
105,20,0.333
