person_id,imdb_person_id,name,birth_year,death_year,primary_profession
1,nm0000008,Marlon Brando,1924,2004,actor
2,nm0000016,Georges Delerue,1925,1992,composer
3,nm0000025,Jerry Goldsmith,1929,2004,music_department
4,nm0000027,Alec Guinness,1914,2000,actor
5,nm0000035,James Horner,1953,2015,music_department
6,nm0000040,Stanley Kubrick,1928,1999,writer
7,nm0000056,Paul Newman,1925,2008,actor
8,nm0000065,Nino Rota,1911,1979,composer
9,nm0000090,Armin Mueller-Stahl,1930,,actor
10,nm0000092,John Cleese,1939,,actor
11,nm0000093,Brad Pitt,1963,,producer
12,nm0000095,Woody Allen,1935,,writer
13,nm0000097,Pamela Anderson,1967,,actress
14,nm0000098,Jennifer Aniston,1969,,actress
15,nm0000099,Patricia Arquette,1968,,actress
16,nm0000100,Rowan Atkinson,1955,,actor
17,nm0000101,Dan Aykroyd,1952,,writer
18,nm0000102,Kevin Bacon,1958,,actor
19,nm0000103,Fairuza Balk,1974,,actress
20,nm0000104,Antonio Banderas,1960,,actor
21,nm0000106,Drew Barrymore,1975,,writer
22,nm0000107,Kim Basinger,1953,,actress
23,nm0000108,Luc Besson,1959,,writer
24,nm0000110,Kenneth Branagh,1960,,actor
25,nm0000111,Matthew Broderick,1962,,actor
26,nm0000113,Sandra Bullock,1964,,producer
27,nm0000114,Steve Buscemi,1957,,actor
28,nm0000115,Nicolas Cage,1964,,actor
29,nm0000116,James Cameron,1954,,writer
30,nm0000117,Neve Campbell,1973,,actress
31,nm0000118,John Carpenter,1948,,music_department
32,nm0000120,Jim Carrey,1962,,actor
33,nm0000123,George Clooney,1961,,actor
34,nm0000124,Jennifer Connelly,1970,,actress
35,nm0000125,Sean Connery,1930,2020,actor
36,nm0000126,Kevin Costner,1955,,actor
37,nm0000127,Wes Craven,1939,2015,writer
38,nm0000128,Russell Crowe,1964,,actor
39,nm0000129,Tom Cruise,1962,,actor
40,nm0000131,John Cusack,1966,,actor
41,nm0000132,Claire Danes,1979,,actress
42,nm0000133,Geena Davis,1956,,producer
43,nm0000134,Robert De Niro,1943,,actor
44,nm0000136,Johnny Depp,1963,,actor
45,nm0000138,Leonardo DiCaprio,1974,,producer
46,nm0000139,Cameron Diaz,1972,,actress
47,nm0000140,Michael Douglas,1944,,actor
48,nm0000142,Clint Eastwood,1930,,actor
49,nm0000143,Erika Eleniak,1969,,actress
50,nm0000144,Cary Elwes,1962,,actor
51,nm0000146,Ralph Fiennes,1962,,actor
52,nm0000147,Colin Firth,1960,,actor
53,nm0000148,Harrison Ford,1942,,actor
54,nm0000149,Jodie Foster,1962,,actress
55,nm0000150,Michael J. Fox,1961,,actor
56,nm0000151,Morgan Freeman,1937,,actor
57,nm0000152,Richard Gere,1949,,actor
58,nm0000153,Gina Gershon,1962,,actress
59,nm0000154,Mel Gibson,1956,,actor
60,nm0000155,Whoopi Goldberg,1955,,actress
61,nm0000156,Jeff Goldblum,1952,,actor
62,nm0000157,Linda Hamilton,1956,,actress
63,nm0000158,Tom Hanks,1956,,producer
64,nm0000160,Ethan Hawke,1970,,actor
65,nm0000163,Dustin Hoffman,1937,,actor
66,nm0000164,Anthony Hopkins,1937,,actor
67,nm0000165,Ron Howard,1954,,producer
68,nm0000166,Helen Hunt,1963,,actress
69,nm0000168,Samuel L. Jackson,1948,,actor
70,nm0000169,Tommy Lee Jones,1946,,actor
71,nm0000170,Milla Jovovich,1975,,actress
72,nm0000171,Ashley Judd,1968,,actress
73,nm0000172,Harvey Keitel,1939,,actor
74,nm0000173,Nicole Kidman,1967,,actress
75,nm0000174,Val Kilmer,1959,2025,actor
76,nm0000175,Stephen King,1947,,writer
77,nm0000178,Diane Lane,1965,,actress
78,nm0000179,Jude Law,1972,,actor
79,nm0000184,George Lucas,1944,,writer
